🌴  央视快线,#genre#
凤凰中文,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEGEGM4G/timeshift.m3u8?txKbps=702&delay=2487
凤凰资訊,http://playtimeshift-live.ifeng.com/timeshift/live/06OLEEWQKN4/timeshift.m3u8?txKbps=702&delay=967
CCTV-1,http://39.134.136.132:6610/200000001898/460000089800010144/1.m3u8?IASHttpSessionId=OTT
CCTV-2,http://39.134.136.132:6610/200000001898/460000089800010050/1.m3u8?IASHttpSessionId=OTT
CCTV-3,http://39.134.136.132:6610/200000001898/460000089800010138/1.m3u8?IASHttpSessionId=OTT
CCTV-4,http://39.134.136.132:6610/200000001898/460000089800010017/1.m3u8?IASHttpSessionId=OTT
CCTV-5,http://39.134.136.132:6610/200000001898/460000089800010139/1.m3u8?IASHttpSessionId=OTT
CCTV-5+,http://39.134.136.132:6610/200000001898/460000089800010044/1.m3u8?IASHttpSessionId=OTT
CCTV-6,http://39.134.136.132:6610/200000001898/460000089800010140/1.m3u8?IASHttpSessionId=OTT
CCTV-7,http://39.134.136.132:6610/200000001898/460000089800010051/1.m3u8?IASHttpSessionId=OTT
CCTV-8,http://39.134.136.132:6610/200000001898/460000089800010141/1.m3u8?IASHttpSessionId=OTT
CCTV-9,http://39.134.136.132:6610/200000001898/460000089800010052/1.m3u8?IASHttpSessionId=OTT
CCTV-10,http://39.134.136.132:6610/200000001898/460000089800010046/1.m3u8?IASHttpSessionId=OTT
CCTV-11,http://39.134.136.132:6610/200000001898/460000089800010092/1.m3u8?IASHttpSessionId=OTT
CCTV-12,http://39.134.136.132:6610/200000001898/460000089800010047/1.m3u8?IASHttpSessionId=OTT
CCTV-13,http://39.134.136.132:6610/200000001898/460000089800010093/1.m3u8?IASHttpSessionId=OTT
CCTV-14,http://39.134.136.132:6610/200000001898/460000089800010048/1.m3u8?IASHttpSessionId=OTT
CCTV-15,http://39.134.136.132:6610/200000001898/460000089800010094/1.m3u8?IASHttpSessionId=OTT
CCTV-16,http://39.134.136.132:6610/200000001898/460000089800010142/1.m3u8?IASHttpSessionId=OTT
CCTV-17,http://39.134.136.132:6610/200000001898/460000089800010049/1.m3u8?IASHttpSessionId=OTT
4K UHD,http://39.134.136.132:6610/200000001898/460000089800010006/1.m3u8?IASHttpSessionId=OTT
咪咕体育,http://39.134.136.132:6610/200000001898/460000089800010148/1.m3u8?IASHttpSessionId=OTT
综合频道,http://39.134.136.132:6610/200000001898/460000089800010084/1.m3u8?IASHttpSessionId=OTT
精品大剧,http://39.134.136.132:6610/200000001898/460000089800010072/1.m3u8?IASHttpSessionId=OTT
黑莓电影,http://39.134.136.132:6610/200000001898/460000089800010073/1.m3u8?IASHttpSessionId=OTT
家庭剧场,http://39.134.136.132:6610/200000001898/460000089800010074/1.m3u8?IASHttpSessionId=OTT
精品记录,http://39.134.136.132:6610/200000001898/460000089800010076/1.m3u8?IASHttpSessionId=OTT
惊悚悬疑,http://39.134.136.132:6610/200000001898/460000089800010077/1.m3u8?IASHttpSessionId=OTT
精品体育,http://39.134.136.132:6610/200000001898/460000089800010078/1.m3u8?IASHttpSessionId=OTT
军旅剧场,http://39.134.136.132:6610/200000001898/460000089800010079/1.m3u8?IASHttpSessionId=OTT
军事评论,http://39.134.136.132:6610/200000001898/460000089800010080/1.m3u8?IASHttpSessionId=OTT
怡伴健康,http://39.134.136.132:6610/200000001898/460000089800010082/1.m3u8?IASHttpSessionId=OTT
农业致富,http://39.134.136.132:6610/200000001898/460000089800010085/1.m3u8?IASHttpSessionId=OTT
金牌综艺,http://39.134.136.132:6610/200000001898/460000089800010086/1.m3u8?IASHttpSessionId=OTT
中国功夫,http://39.134.136.132:6610/200000001898/460000089800010087/1.m3u8?IASHttpSessionId=OTT
哒啵赛事,http://39.134.136.132:6610/200000001898/460000089800010120/1.m3u8?IASHttpSessionId=OTT
武搏世界135,http://39.134.136.132:6610/200000001898/460000089800010135/1.m3u8?IASHttpSessionId=OTT
精品萌宠,http://39.134.136.132:6610/200000001898/460000089800010146/1.m3u8?IASHttpSessionId=OTT
运动健身,http://39.134.136.132:6610/200000001898/460000089800010147/1.m3u8?IASHttpSessionId=OTT
电视剧场,http://39.134.136.132:6610/200000001898/460000089800010121/1.m3u8?IASHttpSessionId=OTT
爱情喜剧,http://39.134.136.132:6610/200000001898/460000089800010000/1.m3u8?IASHttpSessionId=OTT
黑莓动画,http://39.134.136.132:6610/200000001898/460000089800010002/1.m3u8?IASHttpSessionId=OTT
动作电影,http://39.134.136.132:6610/200000001898/460000089800010003/1.m3u8?IASHttpSessionId=OTT
古装剧场,http://39.134.136.132:6610/200000001898/460000089800010004/1.m3u8?IASHttpSessionId=OTT
潮妈辣婆,http://39.134.136.132:6610/200000001898/460000089800010005/1.m3u8?IASHttpSessionId=OTT
东北热剧,http://39.134.136.132:6610/200000001898/460000089800010021/1.m3u8?IASHttpSessionId=OTT
欢乐剧场,http://39.134.136.132:6610/200000001898/460000089800010025/1.m3u8?IASHttpSessionId=OTT
炫舞未来,http://39.134.136.132:6610/200000001898/460000089800010039/1.m3u8?IASHttpSessionId=OTT
北京纪实,http://39.134.136.132:6610/200000001898/460000089800010042/1.m3u8?IASHttpSessionId=OTT
超级综艺,http://39.134.136.132:6610/200000001898/460000089800010062/1.m3u8?IASHttpSessionId=OTT
超级体育,http://39.134.136.132:6610/200000001898/460000089800010063/1.m3u8?IASHttpSessionId=OTT
超级电影,http://39.134.136.132:6610/200000001898/460000089800010064/1.m3u8?IASHttpSessionId=OTT
超级电视剧,http://39.134.136.132:6610/200000001898/460000089800010065/1.m3u8?IASHttpSessionId=OTT
纪实人文,http://39.134.136.132:6610/200000001898/460000089800010067/1.m3u8?IASHttpSessionId=OTT

🌴  卫视快线,#genre#
安徽卫视,http://39.134.136.132:6610/200000001898/460000089800010041/1.m3u8?IASHttpSessionId=OTT
北京卫视,http://39.134.136.132:6610/200000001898/460000089800010043/1.m3u8?IASHttpSessionId=OTT
重庆卫视,http://39.134.136.132:6610/200000001898/460000089800010053/1.m3u8?IASHttpSessionId=OTT
东南卫视,http://39.134.136.132:6610/200000001898/460000089800010096/1.m3u8?IASHttpSessionId=OTT
甘肃卫视,http://39.134.136.132:6610/200000001898/460000089800010098/1.m3u8?IASHttpSessionId=OTT
广西卫视,http://39.134.136.132:6610/200000001898/460000089800010099/1.m3u8?IASHttpSessionId=OTT
贵州卫视,http://39.134.136.132:6610/200000001898/460000089800010100/1.m3u8?IASHttpSessionId=OTT
河北卫视,http://39.134.136.132:6610/200000001898/460000089800010101/1.m3u8?IASHttpSessionId=OTT
湖北卫视,http://39.134.136.132:6610/200000001898/460000089800010057/1.m3u8?IASHttpSessionId=OTT
湖南卫视,http://39.134.136.132:6610/200000001898/460000089800010058/1.m3u8?IASHttpSessionId=OTT
大湾区卫视,http://39.134.136.132:6610/200000001898/460000089800010108/1.m3u8?IASHttpSessionId=OTT
哈哈炫动,http://39.134.136.132:6610/200000001898/460000089800010117/1.m3u8?IASHttpSessionId=OTT
海南卫视,http://39.134.136.132:6610/200000001898/460000089800010083/1.m3u8?IASHttpSessionId=OTT
河南卫视,http://39.134.136.132:6610/200000001898/460000089800010071/1.m3u8?IASHttpSessionId=OTT
